Date,Price,,Date1,Price1,,Date2,Price2,,Date3,Price3,,Date4,Price4,,Date5,Price5
3/1/70,89.63,,3/1/70,97.34,,3/1/70,7.08,,3/1/70,106.38,,12/1/71,100,,1/1/88,257.47
4/1/70,81.52,,4/1/70,88.97,,4/1/70,7.82,,4/1/70,106.05,,1/1/72,101.22,,2/1/88,269.48
5/1/70,76.55,,5/1/70,84.28,,5/1/70,7.95,,5/1/70,102.9,,2/1/72,102.18,,3/1/88,261.15
6/1/70,72.72,,6/1/70,85.85,,6/1/70,7.68,,6/1/70,110.2,,3/1/72,102.44,,4/1/88,264.04
7/1/70,78.05,,7/1/70,89,,7/1/70,7.38,,7/1/70,109.07,,4/1/72,102.7,,5/1/88,266.32
8/1/70,81.52,,8/1/70,89.1,,8/1/70,7.49,,8/1/70,114.63,,5/1/72,101.15,,6/1/88,278.54
9/1/70,84.3,,9/1/70,89.49,,9/1/70,7.29,,9/1/70,116.07,,6/1/72,101.16,,7/1/88,277.49
10/1/70,83.25,,10/1/70,88.45,,10/1/70,7.33,,10/1/70,115.66,,7/1/72,104.02,,8/1/88,268.07
11/1/70,87.2,,11/1/70,84.37,,11/1/70,6.49,,11/1/70,114.07,,8/1/72,102.84,,9/1/88,279.49
12/1/70,92.15,,12/1/70,85.87,,12/1/70,6.5,,12/1/70,115.1,,9/1/72,105.89,,10/1/88,287.27
1/1/71,95.88,,1/1/71,89.07,,1/1/71,6.09,,1/1/71,120.95,,10/1/72,108.9,,11/1/88,283.18
2/1/71,96.75,,2/1/71,89.58,,2/1/71,6.14,,2/1/71,119.78,,11/1/72,111.21,,12/1/88,288.12
3/1/71,100.31,,3/1/71,93.17,,3/1/71,5.53,,3/1/71,121.03,,12/1/72,111.19,,1/1/89,309.21
4/1/71,103.95,,4/1/71,96.48,,4/1/71,6.08,,4/1/71,121.79,,1/1/73,111.57,,2/1/89,301.51
5/1/71,99.63,,5/1/71,98,,5/1/71,6.38,,5/1/71,126.28,,2/1/73,104.39,,3/1/89,308.54
6/1/71,98.7,,6/1/71,100.03,,6/1/71,6.7,,6/1/71,125,,3/1/73,106.05,,4/1/89,324.56
7/1/71,95.58,,7/1/71,103.99,,7/1/71,6.85,,7/1/71,125.84,,4/1/73,101.94,,5/1/89,337.69
8/1/71,99.03,,8/1/71,102.23,,8/1/71,6.28,,8/1/71,125.27,,5/1/73,97.82,,6/1/89,335.78
9/1/71,98.34,,9/1/71,100.39,,9/1/71,6,,9/1/71,125.26,,6/1/73,98.72,,7/1/89,366.1
10/1/71,94.23,,10/1/71,96.91,,10/1/71,5.87,,10/1/71,131.06,,7/1/73,100.87,,8/1/89,373.25
11/1/71,93.99,,11/1/71,99.79,,11/1/71,5.93,,11/1/71,134.5,,8/1/73,94.28,,9/1/89,371.74
12/1/71,102.09,,12/1/71,108.32,,12/1/71,5.89,,12/1/71,139.36,,9/1/73,101.67,,10/1/89,363.11
1/1/72,103.94,,1/1/72,114.28,,1/1/72,6.09,,1/1/72,144.75,,10/1/73,102.92,,11/1/89,370.51
2/1/72,106.57,,2/1/72,121.44,,2/1/72,6.04,,2/1/72,144.35,,11/1/73,88.48,,12/1/89,379.41
3/1/72,107.2,,3/1/72,125.09,,3/1/72,6.12,,3/1/72,146.26,,12/1/73,80.93,,1/1/90,353.94
4/1/72,107.67,,4/1/72,127.74,,4/1/72,6.14,,4/1/72,150.54,,1/1/74,83.44,,2/1/90,358.5
5/1/72,109.53,,5/1/72,131.54,,5/1/72,6.05,,5/1/72,154.06,,2/1/74,87.26,,3/1/90,368
6/1/72,107.14,,6/1/72,127.71,,6/1/72,6.15,,6/1/72,158.14,,3/1/74,84.05,,4/1/90,358.82
7/1/72,107.39,,7/1/72,134.26,,7/1/72,6.12,,7/1/72,156.71,,4/1/74,73.77,,5/1/90,393.8
8/1/72,111.09,,8/1/72,135.43,,8/1/72,6.42,,8/1/72,166.07,,5/1/74,69.6,,6/1/90,391.14
9/1/72,110.55,,9/1/72,130.68,,9/1/72,6.54,,9/1/72,178.64,,6/1/74,63.2,,7/1/90,389.89
10/1/72,111.58,,10/1/72,131.73,,10/1/72,6.41,,10/1/72,176.83,,7/1/74,62.19,,8/1/90,354.65
11/1/72,116.67,,11/1/72,140.06,,11/1/72,6.28,,11/1/72,183.79,,8/1/74,51.03,,9/1/90,337.39
12/1/72,118.05,,12/1/72,144.37,,12/1/72,6.41,,12/1/72,198.49,,9/1/74,52.76,,10/1/90,335.95
1/1/73,116.03,,1/1/73,146.52,,1/1/73,6.54,,1/1/73,205.27,,10/1/74,57.45,,11/1/90,357.67
2/1/73,111.68,,2/1/73,158.27,,2/1/73,6.64,,2/1/73,214.17,,11/1/74,51.43,,12/1/90,367.63
3/1/73,111.52,,3/1/73,158.9,,3/1/73,6.73,,3/1/73,209.07,,12/1/74,46.75,,1/1/91,383.64
4/1/73,106.97,,4/1/73,149.63,,4/1/73,6.7,,4/1/73,221.69,,1/1/75,61.16,,2/1/91,411.08
5/1/73,104.95,,5/1/73,152.89,,5/1/73,6.93,,5/1/73,262.12,,2/1/75,58.34,,3/1/91,421.03
